num,locate,name,rating,review,classfications,address,cost,url
0,양재시민의숲,호텔 페이토 강남,4.1, 909,4성급 호텔,서울특별시 서초구 서초동 강남대로 259,"₩79,197","https://www.google.com/maps/place/%ED%98%B8%ED%85%94+%ED%8E%98%EC%9D%B4%ED%86%A0+%EA%B0%95%EB%82%A8/@37.4702984,127.019304,14z/data=!4m20!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIOyEnOy0iOq1rCDslpHsnqwy64-ZIDIzNiDslpHsnqzsi5zrr7zsnZjsiLI!3s0x357ca12df4d09e17:0x651c696f5aefd124!4m2!1d127.0355777!2d37.4706864!5m2!4e3!9i100000!6e3!3m5!1s0x357ca14ed2ab015f:0x66f2c0b287996830!5m2!4m1!1i2!15sCgbtmLjthZSSAQVob3RlbA"
1,양재시민의숲,신라스테이 서초,4.1," 1,562",4성급 호텔,,"₩80,388","https://www.google.com/maps/place/%EC%8B%A0%EB%9D%BC%EC%8A%A4%ED%85%8C%EC%9D%B4+%EC%84%9C%EC%B4%88/@37.4702984,127.019304,14z/data=!4m24!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIOyEnOy0iOq1rCDslpHsnqwy64-ZIDIzNiDslpHsnqzsi5zrr7zsnZjsiLI!3s0x357ca12df4d09e17:0x651c696f5aefd124!4m2!1d127.0355777!2d37.4706864!5m2!4e3!9i100000!6e3!3m9!1s0x357ca14f70d90347:0x80645a88857c66ff!5m2!4m1!1i2!8m2!3d37.4894209!4d127.030127!15sCgbtmLjthZSSAQVob3RlbA!16s%2Fg%2F11c339z7d1"
2,양재시민의숲,엠티티 게스트하우스,4.2, 44,2성급 호텔,,"₩36,100","https://www.google.com/maps/place/%EC%97%A0%ED%8B%B0%ED%8B%B0+%EA%B2%8C%EC%8A%A4%ED%8A%B8%ED%95%98%EC%9A%B0%EC%8A%A4/@37.4702984,127.019304,14z/data=!4m24!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIOyEnOy0iOq1rCDslpHsnqwy64-ZIDIzNiDslpHsnqzsi5zrr7zsnZjsiLI!3s0x357ca12df4d09e17:0x651c696f5aefd124!4m2!1d127.0355777!2d37.4706864!5m2!4e3!9i100000!6e3!3m9!1s0x357ca1541bc9ad47:0x5130810942bad3aa!5m2!4m1!1i2!8m2!3d37.4956564!4d127.0351374!15sCgbtmLjthZSSAQVob3RlbA!16s%2Fg%2F11g9qt86y8"
3,양재시민의숲,업플로 교대,4.7, 72,2성급 호텔,,"₩64,800","https://www.google.com/maps/place/%EC%97%85%ED%94%8C%EB%A1%9C+%EA%B5%90%EB%8C%80/@37.4702984,127.019304,14z/data=!4m24!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIOyEnOy0iOq1rCDslpHsnqwy64-ZIDIzNiDslpHsnqzsi5zrr7zsnZjsiLI!3s0x357ca12df4d09e17:0x651c696f5aefd124!4m2!1d127.0355777!2d37.4706864!5m2!4e3!9i100000!6e3!3m9!1s0x357ca169b931ebf3:0x466693812609c278!5m2!4m1!1i2!8m2!3d37.4936901!4d127.0170057!15sCgbtmLjthZSSAQZob3N0ZWw!16s%2Fg%2F11f4qkvmpk"
4,양재시민의숲,토요코인 서울 강남,4.2, 589,3성급 호텔,,"₩73,800","https://www.google.com/maps/place/%ED%86%A0%EC%9A%94%EC%BD%94%EC%9D%B8+%EC%84%9C%EC%9A%B8+%EA%B0%95%EB%82%A8/@37.478813,127.0221364,14z/data=!4m24!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIOyEnOy0iOq1rCDslpHsnqwy64-ZIDIzNiDslpHsnqzsi5zrr7zsnZjsiLI!3s0x357ca12df4d09e17:0x651c696f5aefd124!4m2!1d127.0355777!2d37.4706864!5m2!4e3!9i100000!6e3!3m9!1s0x357ca1c65cbc80f9:0xdf8e4c40b118f370!5m2!4m1!1i2!8m2!3d37.4918215!4d127.0299017!15sCgbtmLjthZSSAQVob3RlbA!16s%2Fg%2F11g18f55b7"
5,한강대교,가야라트리호텔,4.1, 195,3성급 호텔,,"₩61,740","https://www.google.com/maps/place/%EA%B0%80%EC%95%BC%EB%9D%BC%ED%8A%B8%EB%A6%AC%ED%98%B8%ED%85%94/@37.526366,126.9477347,14z/data=!4m24!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIO2VnOqwleuMgOq1kA!3s0x357ca1fca7c53323:0x87e99d2652f99750!4m2!1d126.9588607!2d37.5175177!5m2!4e3!9i137109!6e3!3m9!1s0x357ca214d2b46a3b:0x1c77154095a529b9!5m2!4m1!1i2!8m2!3d37.5408003!4d126.9723094!15sCgbtmLjthZSSAQVob3RlbA!16s%2Fg%2F1tdhbzcs"
6,한강대교,포 포인츠 바이 쉐라톤 조선 서울역,4.2," 2,444",4성급 호텔,,"₩84,084","https://www.google.com/maps/place/%ED%8F%AC+%ED%8F%AC%EC%9D%B8%EC%B8%A0+%EB%B0%94%EC%9D%B4+%EC%89%90%EB%9D%BC%ED%86%A4+%EC%A1%B0%EC%84%A0+%EC%84%9C%EC%9A%B8%EC%97%AD/@37.5401765,126.9591615,14.58z/data=!4m23!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIO2VnOqwleuMgOq1kA!3s0x357ca1fca7c53323:0x87e99d2652f99750!4m2!1d126.9588607!2d37.5175177!5m2!4e3!9i137109!6e3!3m8!1s0x357ca26639bb5321:0x4564fad456ed7e31!5m2!4m1!1i2!8m2!3d37.5509741!4d126.9727492!16s%2Fg%2F11b7w0q68f"
7,한강대교,SS게스트하우스,4.2, 65,2성급 호텔,,"₩59,000","https://www.google.com/maps/place/SS%EA%B2%8C%EC%8A%A4%ED%8A%B8%ED%95%98%EC%9A%B0%EC%8A%A4/@37.5438964,126.9615196,15.17z/data=!4m23!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIO2VnOqwleuMgOq1kA!3s0x357ca1fca7c53323:0x87e99d2652f99750!4m2!1d126.9588607!2d37.5175177!5m2!4e3!9i137109!6e3!3m8!1s0x357ca26582ca2947:0xaa1890f9fc2fb402!5m2!4m1!1i2!8m2!3d37.5515482!4d126.9691175!16s%2Fg%2F12hrdpm15"
8,한강대교,이비스 스타일 앰배서더 서울 용산,4.3," 1,670",4성급 호텔,,"₩108,240","https://www.google.com/maps/place/%EC%9D%B4%EB%B9%84%EC%8A%A4+%EC%8A%A4%ED%83%80%EC%9D%BC+%EC%95%B0%EB%B0%B0%EC%84%9C%EB%8D%94+%EC%84%9C%EC%9A%B8+%EC%9A%A9%EC%82%B0/@37.5303655,126.962132,18.17z/data=!4m24!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIO2VnOqwleuMgOq1kA!3s0x357ca1fca7c53323:0x87e99d2652f99750!4m2!1d126.9588607!2d37.5175177!5m2!4e3!9i137109!6e3!3m9!1s0x357ca204cff0f11f:0xe901b4a1d55e59eb!5m2!4m1!1i2!8m2!3d37.5317694!4d126.9630986!15sCgbtmLjthZSSAQVob3RlbA!16s%2Fg%2F11g9jrzfdt"
9,한강대교,글래드 마포,4.4," 1,055",4성급 호텔,,"₩69,494","https://www.google.com/maps/place/%EA%B8%80%EB%9E%98%EB%93%9C+%EB%A7%88%ED%8F%AC/@37.5342749,126.9472495,14.96z/data=!4m24!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIO2VnOqwleuMgOq1kA!3s0x357ca1fca7c53323:0x87e99d2652f99750!4m2!1d126.9588607!2d37.5175177!5m2!4e3!9i137109!6e3!3m9!1s0x357c98a13a78e9cb:0x15e2affcf7d6198a!5m2!4m1!1i2!8m2!3d37.5430163!4d126.9512057!15sCgbtmLjthZSSAQVob3RlbA!16s%2Fg%2F11f4qp81rf"
10,서울월드컵경기장,스탠포드 호텔 서울,4.0," 1,491",4성급 호텔,,"₩78,540","https://www.google.com/maps/place/%EC%8A%A4%ED%83%A0%ED%8F%AC%EB%93%9C+%ED%98%B8%ED%85%94+%EC%84%9C%EC%9A%B8/@37.5682575,126.8797142,14z/data=!4m24!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIOuniO2PrOq1rCDsm5Trk5zsu7XroZwgMjQwIOyEnOyauOyblOuTnOy7teqyveq4sOyepQ!3s0x357c99162975a2f1:0x680de03f7adc4155!4m2!1d126.8972774!2d37.5682588!5m2!4e3!9i108203!6e3!3m9!1s0x357c996d8c3194f7:0xbac15165fe776514!5m2!4m1!1i2!8m2!3d37.5822609!4d126.8866664!15sCgbtmLjthZSSAQVob3RlbA!16s%2Fg%2F11cny1g18_"
11,서울월드컵경기장,예포게스트하우스(YE4GUESTHOUSE),4.6, 38,2성급 호텔,,"₩69,494","https://www.google.com/maps/place/%EC%98%88%ED%8F%AC%EA%B2%8C%EC%8A%A4%ED%8A%B8%ED%95%98%EC%9A%B0%EC%8A%A4(YE4GUESTHOUSE)/@37.558817,126.9142725,15.46z/data=!4m23!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIOuniO2PrOq1rCDsm5Trk5zsu7XroZwgMjQwIOyEnOyauOyblOuTnOy7teqyveq4sOyepQ!3s0x357c99162975a2f1:0x680de03f7adc4155!4m2!1d126.8972774!2d37.5682588!5m2!4e3!9i108203!6e3!3m8!1s0x357c98e51b248697:0xe8f5d43c8fdfe172!5m2!4m1!1i2!8m2!3d37.5675035!4d126.9196066!16s%2Fg%2F11b6dp9xrn"
12,서울월드컵경기장,아이올라홍대게스트하우스,4.8, 21,2성급 호텔,,"₩54,319","https://www.google.com/maps/place/%EC%95%84%EC%9D%B4%EC%98%AC%EB%9D%BC%ED%99%8D%EB%8C%80%EA%B2%8C%EC%8A%A4%ED%8A%B8%ED%95%98%EC%9A%B0%EC%8A%A4/@37.5604419,126.9122091,14.92z/data=!4m23!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIOuniO2PrOq1rCDsm5Trk5zsu7XroZwgMjQwIOyEnOyauOyblOuTnOy7teqyveq4sOyepQ!3s0x357c99162975a2f1:0x680de03f7adc4155!4m2!1d126.8972774!2d37.5682588!5m2!4e3!9i108203!6e3!3m8!1s0x357c98ef2b1dbab1:0xbd5437698b4d3a30!5m2!4m1!1i2!8m2!3d37.5629537!4d126.9244051!16s%2Fg%2F11gh20hdm2"
13,서울월드컵경기장,DAOL Guest House,4.4, 27,3성급 호텔,,"₩47,500","https://www.google.com/maps/place/DAOL+Guest+House/@37.5598251,126.9217773,17.21z/data=!4m24!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIOuniO2PrOq1rCDsm5Trk5zsu7XroZwgMjQwIOyEnOyauOyblOuTnOy7teqyveq4sOyepQ!3s0x357c99162975a2f1:0x680de03f7adc4155!4m2!1d126.8972774!2d37.5682588!5m2!4e3!9i108203!6e3!3m9!1s0x357c9909476b51a9:0xc9bb3849e7f95c60!5m2!4m1!1i2!8m2!3d37.5593062!4d126.9244581!15sCgbtmLjthZSSAQtndWVzdF9ob3VzZQ!16s%2Fg%2F11fhvxhky2"
14,서울월드컵경기장,DW디자인레지던스,4.4, 90,3성급 호텔,,"₩46,207","https://www.google.com/maps/place/DW%EB%94%94%EC%9E%90%EC%9D%B8%EB%A0%88%EC%A7%80%EB%8D%98%EC%8A%A4/@37.5587946,126.9192793,17.21z/data=!4m24!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIOuniO2PrOq1rCDsm5Trk5zsu7XroZwgMjQwIOyEnOyauOyblOuTnOy7teqyveq4sOyepQ!3s0x357c99162975a2f1:0x680de03f7adc4155!4m2!1d126.8972774!2d37.5682588!5m2!4e3!9i108203!6e3!3m9!1s0x357c98dd3fdb28fd:0x979b2b293d6b8344!5m2!4m1!1i2!8m2!3d37.5583691!4d126.9205541!15sCgbtmLjthZSSAQVsb2RnZQ!16s%2Fg%2F12hnbwqs5"
15,서울월드컵경기장,아만티 호텔 서울,4.2," 1,101",4성급 호텔,,"₩73,040","https://www.google.com/maps/place/%EC%95%84%EB%A7%8C%ED%8B%B0+%ED%98%B8%ED%85%94+%EC%84%9C%EC%9A%B8/@37.5584575,126.9187922,16.75z/data=!4m24!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIOuniO2PrOq1rCDsm5Trk5zsu7XroZwgMjQwIOyEnOyauOyblOuTnOy7teqyveq4sOyepQ!3s0x357c99162975a2f1:0x680de03f7adc4155!4m2!1d126.8972774!2d37.5682588!5m2!4e3!9i108203!6e3!3m9!1s0x357c991a46e592ed:0xd00c5b8d5da76dcf!5m2!4m1!1i2!8m2!3d37.5570417!4d126.9184747!15sCgbtmLjthZSSAQVob3RlbA!16s%2Fg%2F11cn92s_tq"
16,노을공원,스탠포드 호텔 서울,4.0," 1,491",4성급 호텔,,"₩78,540","https://www.google.com/maps/place/%EC%8A%A4%ED%83%A0%ED%8F%AC%EB%93%9C+%ED%98%B8%ED%85%94+%EC%84%9C%EC%9A%B8/@37.5606398,126.8751841,13.58z/data=!4m24!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIOuniO2PrOq1rCDsg4HslZTrj5kgNDg2LTYg64W47J2E6rO17JuQ!3s0x357c995c4c599b6b:0x59e837debd268b27!4m2!1d126.8752845!2d37.5735764!5m2!4e3!9i106641!6e3!3m9!1s0x357c996d8c3194f7:0xbac15165fe776514!5m2!4m1!1i2!8m2!3d37.5822609!4d126.8866611!15sCgbtmLjthZSSAQVob3RlbA!16s%2Fg%2F11cny1g18_"
17,노을공원,예포게스트하우스(YE4GUESTHOUSE),4.6, 38,2성급 호텔,,"₩69,494","https://www.google.com/maps/place/%EC%98%88%ED%8F%AC%EA%B2%8C%EC%8A%A4%ED%8A%B8%ED%95%98%EC%9A%B0%EC%8A%A4(YE4GUESTHOUSE)/@37.5693362,126.8472169,13z/data=!4m23!1m13!2m12!1z7Zi47YWU!3m6!1z7Zi47YWU!2z7ISc7Jq47Yq567OE7IucIOuniO2PrOq1rCDsg4HslZTrj5kgNDg2LTYg64W47J2E6rO17JuQ!3s0x357c995c4c599b6b:0x59e837debd268b27!4m2!1d126.8752845!2d37.5735764!5m2!4e3!9i106641!6e3!3m8!1s0x357c98e51b248697:0xe8f5d43c8fdfe172!5m2!4m1!1i2!8m2!3d37.5675078!4d126.9196093!16s%2Fg%2F11b6dp9xrn"
