index,locate,name,rating,classfications,address,hour,url
0,양재시민의숲,우면동소바,4.4,음식점,"14 바우뫼로, 양재1동 서초구 서울특별시", 11:00~ 7:30,"https://www.google.com/maps/place/%EC%9A%B0%EB%A9%B4%EB%8F%99%EC%86%8C%EB%B0%94/@37.4668682,127.0147511,13.71z/data=!4m16!1m9!2m8!1z7J2M7Iud7KCQ!3m6!1z7J2M7Iud7KCQ!2z7ISc7Jq47Yq567OE7IucIOyEnOy0iOq1rCDslpHsnqwy64-ZIDIzNiDslpHsnqzsi5zrr7zsnZjsiLI!3s0x357ca12df4d09e17:0x651c696f5aefd124!4m2!1d127.0355777!2d37.4706864!3m5!1s0x357ca126c6be98cb:0x8a4df68d72880a97!8m2!3d37.4695007!4d127.0248684!15sCgnsnYzsi53soJBaCyIJ7J2M7Iud7KCQkgEKcmVzdGF1cmFudA"
1,양재시민의숲,올리앤,4.2,이탈리아 음식점,서울특별시 서초구 양재천로15길 1, 11:30~ 9:30,"https://www.google.com/maps/place/%EC%98%AC%EB%A6%AC%EC%95%A4/@37.472406,127.0285255,15.17z/data=!4m16!1m9!2m8!1z66CI7Iqk7Yag656R!3m6!1z66CI7Iqk7Yag656R!2z7ISc7Jq47Yq567OE7IucIOyEnOy0iOq1rCDslpHsnqwy64-ZIDIzNiDslpHsnqzsi5zrr7zsnZjsiLI!3s0x357ca12df4d09e17:0x651c696f5aefd124!4m2!1d127.0355777!2d37.4706864!3m5!1s0x357ca13378f33e97:0x5a32246027e67de3!8m2!3d37.475138!4d127.0374384!15sCgzroIjsiqTthqDrnpFaDiIM66CI7Iqk7Yag656RkgESaXRhbGlhbl9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU50TW1VdFNtMUJSUkFC"
2,양재시민의숲,도마베이커리앤테스트키친,4.3,다양한 메뉴를 선보이는 레스토랑,서울특별시 서초구 양재동 110-10, 9:30~ 9:30,"https://www.google.com/maps/place/%EB%8F%84%EB%A7%88%EB%B2%A0%EC%9D%B4%EC%BB%A4%EB%A6%AC%EC%95%A4%ED%85%8C%EC%8A%A4%ED%8A%B8%ED%82%A4%EC%B9%9C/@37.4721766,127.0334334,15.17z/data=!4m16!1m9!2m8!1z66CI7Iqk7Yag656R!3m6!1z66CI7Iqk7Yag656R!2z7ISc7Jq47Yq567OE7IucIOyEnOy0iOq1rCDslpHsnqwy64-ZIDIzNiDslpHsnqzsi5zrr7zsnZjsiLI!3s0x357ca12df4d09e17:0x651c696f5aefd124!4m2!1d127.0355777!2d37.4706864!3m5!1s0x357ca134f05c9411:0xe27d91d21a4b677a!8m2!3d37.4770285!4d127.037889!15sCgzroIjsiqTthqDrnpFaDiIM66CI7Iqk7Yag656RkgETZWNsZWN0aWNfcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOTGNtUnFjSEozUlJBQg"
3,양재시민의숲,라퀴진,4.5,음식점,도곡동 458-2번지 1층 한설빌딩 강남구 서울특별시 KR, 11:30~ 9:00,"https://www.google.com/maps/place/%EB%9D%BC%ED%80%B4%EC%A7%84/@37.4837922,127.0447837,18.08z/data=!4m16!1m9!2m8!1z66CI7Iqk7Yag656R!3m6!1z66CI7Iqk7Yag656R!2z7ISc7Jq47Yq567OE7IucIOyEnOy0iOq1rCDslpHsnqwy64-ZIDIzNiDslpHsnqzsi5zrr7zsnZjsiLI!3s0x357ca12df4d09e17:0x651c696f5aefd124!4m2!1d127.0355777!2d37.4706864!3m5!1s0x357ca6b19c4570cd:0xd003871859e37399!8m2!3d37.4840492!4d127.0462906!15sCgzroIjsiqTthqDrnpFaDiIM66CI7Iqk7Yag656RkgEKcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSeE1UaHhaMnRCUlJBQg"
4,양재시민의숲,그램,4.3,다양한 메뉴를 선보이는 레스토랑,서울특별시 서초구 양재1동 논현로31길 6, 11:30~ 10:00,"https://www.google.com/maps/place/%EA%B7%B8%EB%9E%A8/@37.4796926,127.038288,15.75z/data=!4m16!1m9!2m8!1z66CI7Iqk7Yag656R!3m6!1z66CI7Iqk7Yag656R!2z7ISc7Jq47Yq567OE7IucIOyEnOy0iOq1rCDslpHsnqwy64-ZIDIzNiDslpHsnqzsi5zrr7zsnZjsiLI!3s0x357ca12df4d09e17:0x651c696f5aefd124!4m2!1d127.0355777!2d37.4706864!3m5!1s0x357ca6b48eef7b11:0xc084a5b0a56f640f!8m2!3d37.4822641!4d127.0422689!15sCgzroIjsiqTthqDrnpFaDiIM66CI7Iqk7Yag656RkgETZWNsZWN0aWNfcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSamVuRkRiVzVuUlJBQg"
5,한강대교,이가락,4.3,일본 음식점,서울특별시 용산구 이촌로 100-11, 11:30~ 2:30,"https://www.google.com/maps/place/%EC%9D%B4%EA%B0%80%EB%9D%BD/@37.5163078,126.9504192,15z/data=!4m16!1m9!2m8!1z7J2M7Iud7KCQ!3m6!1z7J2M7Iud7KCQ!2z7ISc7Jq47Yq567OE7IucIO2VnOqwleuMgOq1kA!3s0x357ca1fca7c53323:0x87e99d2652f99750!4m2!1d126.9588607!2d37.5175177!3m5!1s0x357ca1feb07dbcbb:0x1c283c9c845222bc!8m2!3d37.5233955!4d126.9587221!15sCgnsnYzsi53soJBaCyIJ7J2M7Iud7KCQkgETamFwYW5lc2VfcmVzdGF1cmFudA"
6,한강대교,오근내 닭갈비,4.2,닭갈비전문점,서울특별시 용산구 한강로3가 이촌로29길 15, 12:00~3:30,"https://www.google.com/maps/place/%EC%98%A4%EA%B7%BC%EB%82%B4+%EB%8B%AD%EA%B0%88%EB%B9%84/@37.5231154,126.9531658,15z/data=!4m16!1m9!2m8!1z7J2M7Iud7KCQ!3m6!1z7J2M7Iud7KCQ!2z7ISc7Jq47Yq567OE7IucIO2VnOqwleuMgOq1kA!3s0x357ca1fca7c53323:0x87e99d2652f99750!4m2!1d126.9588607!2d37.5175177!3m5!1s0x357ca1f92a4e6c71:0x4adc5339159fc4ca!8m2!3d37.5244943!4d126.9596906!15sCgnsnYzsi53soJBaCyIJ7J2M7Iud7KCQkgEWY2hpY2tlbl9yaWJfcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOemRFOHpYMmhSUlJBQg"
7,한강대교,팔보,4.2,중국 음식점,"서울특별시 용산구 원효로2동 118-1 2층, 신정빌딩", 11:00~ 10:00,"https://www.google.com/maps/place/%ED%8C%94%EB%B3%B4/@37.5205626,126.9528868,15z/data=!4m16!1m9!2m8!1z7J2M7Iud7KCQ!3m6!1z7J2M7Iud7KCQ!2z7ISc7Jq47Yq567OE7IucIO2VnOqwleuMgOq1kA!3s0x357ca1fca7c53323:0x87e99d2652f99750!4m2!1d126.9588607!2d37.5175177!3m5!1s0x357c98aa547eaa17:0x7330d1d760c895be!8m2!3d37.5324502!4d126.951608!15sCgnsnYzsi53soJBaCyIJ7J2M7Iud7KCQkgESY2hpbmVzZV9yZXN0YXVyYW50"
8,한강대교,시후쿠 신용산점,4.1,음식점,서울특별시 용산구 한강대로15길 9-16, 11:30~ 10:00,"https://www.google.com/maps/place/%EC%8B%9C%ED%9B%84%EC%BF%A0+%EC%8B%A0%EC%9A%A9%EC%82%B0%EC%A0%90/@37.5203073,126.9557407,14z/data=!4m16!1m9!2m8!1z7J2M7Iud7KCQ!3m6!1z7J2M7Iud7KCQ!2z7ISc7Jq47Yq567OE7IucIO2VnOqwleuMgOq1kA!3s0x357ca1fca7c53323:0x87e99d2652f99750!4m2!1d126.9588607!2d37.5175177!3m5!1s0x357ca1f8714cd481:0xadeb96eae7a26d45!8m2!3d37.5253966!4d126.9631207!15sCgnsnYzsi53soJBaCyIJ7J2M7Iud7KCQkgEKcmVzdGF1cmFudA"
9,한강대교,워킹 온 더 클라우드,4.5,유럽식 레스토랑,서울특별시 영등포구 63로 50 63빌딩, 11:30~ 3:00,"https://www.google.com/maps/place/%EC%9B%8C%ED%82%B9+%EC%98%A8+%EB%8D%94+%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C/@37.5160876,126.9358676,15z/data=!4m16!1m9!2m8!1z66CI7Iqk7Yag656R!3m6!1z66CI7Iqk7Yag656R!2z7ISc7Jq47Yq567OE7IucIO2VnOqwleuMgOq1kA!3s0x357ca1fca7c53323:0x87e99d2652f99750!4m2!1d126.9588607!2d37.5175177!3m5!1s0x357ca31f74ec21a1:0xb360a2763e046b37!8m2!3d37.5193776!4d126.9402103!15sCgzroIjsiqTthqDrnpFaDiIM66CI7Iqk7Yag656RkgETZXVyb3BlYW5fcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOWk1IWnhOVlJSRUFF"
